Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
adebaba01,2023-11-16,MIA,BRK,7.0,8.86288624872223,8.87
adebaba01,2023-11-18,MIA,CHI,10.0,10.353088596253833,10.33
adebaba01,2023-11-20,MIA,CHI,11.0,8.86592346607609,9.59
adebaba01,2023-11-24,MIA,NYK,12.0,10.94203998514849,11.53
adebaba01,2023-11-28,MIA,MIL,10.0,10.497302532620365,10.54
adebaba01,2023-11-30,MIA,IND,4.0,7.8623102723314044,8.96
adebaba01,2023-12-18,MIA,MIN,6.0,7.755677759213352,8.06
adebaba01,2023-12-20,MIA,ORL,7.0,5.336907192956396,6.3
adebaba01,2023-12-22,MIA,ATL,11.0,8.472953823647659,8.24
adebaba01,2023-12-25,MIA,PHI,15.0,11.144333261003519,9.4
adebaba01,2023-12-28,MIA,GSW,11.0,10.982191488336932,10.95
adebaba01,2023-12-30,MIA,UTA,16.0,15.594116910545191,15.62
adebaba01,2024-01-01,MIA,LAC,15.0,12.89074777816634,12.72
adebaba01,2024-01-03,MIA,LAL,7.0,11.332890047957791,14.35
adebaba01,2024-01-05,MIA,PHO,10.0,12.439700383763155,13.11
adebaba01,2024-01-08,MIA,HOU,12.0,9.30957472046246,8.94
adebaba01,2024-01-10,MIA,OKC,11.0,10.428843671174395,10.72
adebaba01,2024-01-12,MIA,ORL,11.0,11.454952029453509,11.37
adebaba01,2024-01-14,MIA,CHO,10.0,10.427450260186221,10.61
adebaba01,2024-01-15,MIA,BRK,20.0,15.624304092660505,16.46
adebaba01,2024-01-17,MIA,TOR,5.0,7.491973646376691,9.21
adebaba01,2024-01-19,MIA,ATL,9.0,14.557877910244303,14.64
adebaba01,2024-01-21,MIA,ORL,11.0,7.842484888803478,7.15
adebaba01,2024-01-24,MIA,MEM,15.0,11.96758272851238,12.3
adebaba01,2024-01-25,MIA,BOS,5.0,8.009854386285237,7.48
adebaba01,2024-01-27,MIA,NYK,13.0,13.973633176699611,14.18
adebaba01,2024-01-29,MIA,PHO,11.0,7.874538980060401,6.96
adebaba01,2024-01-31,MIA,SAC,11.0,11.96333577661156,12.29
adebaba01,2024-02-02,MIA,WAS,14.0,12.494304403189455,12.34
adebaba01,2024-02-04,MIA,LAC,13.0,11.91949108242354,12.74
adebaba01,2024-02-06,MIA,ORL,8.0,10.97971861862017,11.56
adebaba01,2024-02-07,MIA,SAS,5.0,8.8111070603292,8.35
adebaba01,2024-02-11,MIA,BOS,13.0,10.186443104297252,10.0
adebaba01,2024-02-13,MIA,MIL,12.0,8.311991562512903,8.49
adebaba01,2024-02-14,MIA,PHI,13.0,12.91189725077458,12.75
adebaba01,2024-02-23,MIA,NOP,7.0,9.338127590845016,10.63
adebaba01,2024-02-26,MIA,SAC,10.0,11.320025430965192,11.43
adebaba01,2024-02-27,MIA,POR,9.0,7.845747137566162,7.62
adebaba01,2024-02-29,MIA,DEN,8.0,8.943658870507829,8.79
adebaba01,2024-03-02,MIA,UTA,7.0,7.965357815648988,8.25
adebaba01,2024-03-05,MIA,DET,7.0,7.425553787516058,7.47
adebaba01,2024-03-07,MIA,DAL,9.0,7.939965433206433,7.82
adebaba01,2024-03-08,MIA,OKC,10.0,8.486617663311824,9.06
adebaba01,2024-03-10,MIA,WAS,16.0,12.609607136376397,11.84
adebaba01,2024-03-13,MIA,DEN,13.0,11.617726881681078,11.78
adebaba01,2024-03-15,MIA,DET,9.0,12.616972688434398,12.42
adebaba01,2024-03-17,MIA,DET,17.0,15.003797428300405,14.59
adebaba01,2024-03-18,MIA,PHI,13.0,10.984414122546314,11.83
adebaba01,2024-03-22,MIA,NOP,10.0,13.493170813210705,13.48
adebaba01,2024-03-24,MIA,CLE,16.0,14.44950220826284,14.82
adebaba01,2024-03-26,MIA,GSW,9.0,9.367588628406873,9.89
adebaba01,2024-03-29,MIA,POR,12.0,13.95302508965389,14.63
adebaba01,2024-03-31,MIA,WAS,10.0,9.425433829978031,9.46
adebaba01,2024-04-02,MIA,NYK,9.0,10.456760028482067,10.64
adebaba01,2024-04-04,MIA,PHI,11.0,10.457355834512994,10.88
adebaba01,2024-04-05,MIA,HOU,12.0,10.41921641180511,10.08
adebaba01,2024-04-07,MIA,IND,12.0,11.45243603155593,11.7
adebaba01,2024-04-09,MIA,ATL,7.0,9.410243254120768,8.68
adebaba01,2024-04-10,MIA,DAL,3.0,7.2439722495961725,8.51
